symboling normalized-losses MAKE_ultra_luxury MAKE_luxury MAKE_US_low_clas MAKE_JAP MAKE_EU_high_class FUEL_diesel FUEL_gas ASPIRATION_stnd ASPIRATION_turbo num_of_doors BODY_hardtop BODY_wagon BODY_sedan BODY_hatch BODY_conv DRIVE_4wd DRIVE_fwd DRIVE_RWD wheel-base length width heigh curb-weight ENGINE_dohc ENGINE_ohc ENGINE_ohcf ENGINE_ohcv ENGINE_1 cylinders engine-size FUEL_SYS_1bbl FUEL_SYS_2bbl FUEL_SYS_idi FUEL_SYS_mfi FUEL_SYS_mpfi FUEL_SYS_spdi bore stroke compression-ratio horsepower peak-rpm city-mpg highway-mpg !PRICE
2 164 0 1 0 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 99.80 176.60 66.20 54.30 2337 0 1 0 0 0 4 109 0 0 0 0 1 0 3.19 3.40 10.00 102 5500 24 30 13950
2 164 0 1 0 0 0 0 1 1 0 4 0 0 1 0 0 1 0 0 99.40 176.60 66.40 54.30 2824 0 1 0 0 0 5 136 0 0 0 0 1 0 3.19 3.40 8.00 115 5500 18 22 17450
1 158 0 1 0 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 105.80 192.70 71.40 55.70 2844 0 1 0 0 0 5 136 0 0 0 0 1 0 3.19 3.40 8.50 110 5500 19 25 17710
1 158 0 1 0 0 0 0 1 0 1 4 0 0 1 0 0 0 1 0 105.80 192.70 71.40 55.90 3086 0 1 0 0 0 5 131 0 0 0 0 1 0 3.13 3.40 8.30 140 5500 17 20 23875
2 192 0 1 0 0 0 0 1 1 0 2 0 0 1 0 0 0 0 1 101.20 176.80 64.80 54.30 2395 0 1 0 0 0 4 108 0 0 0 0 1 0 3.50 2.80 8.80 101 5800 23 29 16430
0 192 0 1 0 0 0 0 1 1 0 4 0 0 1 0 0 0 0 1 101.20 176.80 64.80 54.30 2395 0 1 0 0 0 4 108 0 0 0 0 1 0 3.50 2.80 8.80 101 5800 23 29 16925
0 188 0 1 0 0 0 0 1 1 0 2 0 0 1 0 0 0 0 1 101.20 176.80 64.80 54.30 2710 0 1 0 0 0 6 164 0 0 0 0 1 0 3.31 3.19 9.00 121 4250 21 28 20970
0 188 0 1 0 0 0 0 1 1 0 4 0 0 1 0 0 0 0 1 101.20 176.80 64.80 54.30 2765 0 1 0 0 0 6 164 0 0 0 0 1 0 3.31 3.19 9.00 121 4250 21 28 21105
2 121 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 1 0 88.40 141.10 60.30 53.20 1488 0 0 0 0 l 3 61 0 1 0 0 0 0 2.91 3.03 9.50 48 5100 47 53 5151
1 98 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 1 0 94.50 155.90 63.60 52.00 1874 0 1 0 0 0 4 90 0 1 0 0 0 0 3.03 3.11 9.60 70 5400 38 43 6295
