Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
96	2000	-0.0644	-60.302	-0.88235	14.555	77.296	0.33879	1.6561	1.2799	12.522	0.1145
86	300	0.01612	-18.136	-1.2366	9.5627	99.53	0.09975	1.1916	1.186	12.54	0.091
87	800	9.8106	-6.8495	26.65	16.543	100.59	0.20722	1.8812	1.8923	12.537	0.168
38	150	-0.09664	-65.09	-0.32877	12.318	82.057	0.38696	1.4312	1.1744	12.675	0.099
115	1550	319.07	194.15	646.34	19.001	70.573	0.85114	2.1968	1.55	12.462	0.466
69	1950	13.535	6.4692	32.794	16.92	92.892	0.53984	1.9268	1.7898	12.594	0.0855
58	150	-0.12607	-7.3826	-0.70566	19.985	94.74	0.03582	2.3349	2.2121	12.626	0.0675
109	2100	-1.1028	-18.469	-0.18865	17.444	100.22	0.52965	1.9918	1.9963	12.482	0.0765
54	1750	381.3	241.45	818.69	23.352	73.77	0.90766	2.8701	2.1153	12.649	0.66
108	1800	36.916	20.732	73.887	16.08	97.556	0.66677	1.8265	1.7818	12.482	0.0665
83	850	33.786	17.221	70.106	13.044	102.39	-0.01421	1.5011	1.5371	12.545	0.094
58	550	0.28437	-11.928	-0.93697	18.701	98.348	0.03582	2.1557	2.1201	12.626	0.078
97	2200	-0.22547	-12.443	-0.03044	15.017	80.4	0.21463	1.7061	1.3717	12.517	0.085
91	1800	23.744	16.993	57.208	17.926	100.07	1.509	2.0532	2.0546	12.528	0.068
91	1750	34.979	24.83	84.677	17.835	100.18	1.4997	2.0416	2.0451	12.528	0.0655
45	950	239.31	150.09	501.66	22.114	101.62	0.06361	2.6618	2.7049	12.671	0.346
79	350	-0.00805	-26.478	0.00609	14.507	99.695	0.04972	1.6511	1.6461	12.563	0.071
76	1700	376.13	233.62	783.07	21.024	68.791	1.0679	2.4899	1.7124	12.572	0.5535
32	950	376.64	222.05	817.28	20.345	77.174	0.94564	2.388	1.8424	12.692	0.643
83	1450	482.07	312.85	992.07	19.579	100.31	0.45367	2.2769	2.284	12.547	0.702
112	1750	191.1	98.967	377.31	20.656	77.255	0.43885	2.4345	1.8802	12.48	0.2165
82	300	-0.2202	-21.206	-0.01827	10.361	99.057	0.13218	1.257	1.2452	12.552	0.0845
80	1300	571.02	371.14	1189.2	22.576	68.13	0.93082	2.7394	1.8635	12.565	0.8085
33	2250	-0.01342	-62.584	-0.1217	14.911	82.101	0.30635	1.6946	1.3911	12.699	0.121
69	1050	63.448	37.998	130.33	18.472	99.222	1.1309	2.1249	2.1084	12.594	0.069
62	350	0	-16.741	0.03044	13.792	99.203	0.06825	1.5761	1.5635	12.609	0.0425
79	450	0	-14.575	0.00609	14.524	100.79	0.07103	1.6527	1.6658	12.563	0.102
93	50	-3.557	-16.835	0.01217	18.827	102.26	1.0791	2.1727	2.2217	12.541	0.083
33	1350	966.4	621.28	2036.2	26.098	45.432	0.99475	3.3807	1.5357	12.708	1.3695
56	350	-0.00537	-17.138	-0.15219	15.469	99.497	0.13495	1.7564	1.7475	12.628	0.0645
37	950	263.38	168.95	607.34	20.316	75.918	0.87337	2.3835	1.8092	12.673	0.785
82	1700	472.89	276.65	990.57	22.821	59.049	0.69734	2.7792	1.641	12.558	0.5485
88	1400	177.39	106.34	378.82	20.872	82.256	0.51019	2.4668	2.029	12.54	0.3895
