stat_date	item_name_id	shop_id	exporter_domain_id	product_id	clicks_count	visits_count	ips_count	stats_url_id	!price
2009-07-01	1	391	1	0	1	1	1	3	70
2009-11-10	9	346	1	0	1	1	1	14	50
2009-12-04	2	724	1	79141	5	3	3	7	0
2009-12-04	2	1103	0	79141	1	1	1	4	0
2009-12-04	2	1103	1	79141	2	2	2	4	0
2009-12-04	2	1288	1	79141	1	1	1	5	100
2009-12-04	3	1186	1	79141	1	1	1	6	70
2009-12-04	4	204	1	79141	1	1	1	8	0
2009-12-04	4	942	1	79141	1	1	1	9	0
2009-12-04	5	416	1	16698	3	2	2	10	140
2009-12-04	6	416	1	16698	2	0	0	11	0
2009-12-09	7	66	1	46092	2	1	1	12	150
2009-12-09	8	66	1	46092	1	0	0	13	0
2009-12-18	10	693	1	71622	3	1	1	15	0
2009-12-18	11	1312	1	81187	2	2	1	16	0
2009-12-18	12	520	1	81187	1	1	1	17	0
2009-12-18	13	797	1	82336	2	2	1	18	0
2009-12-18	14	1464	0	0	4	1	1	19	0
2009-12-18	14	1464	1	0	1	0	0	19	0
2010-01-12	0	1132	1	0	5	2	2	24	0
2010-01-12	0	1155	1	0	1	1	1	22	100
2010-01-12	19	638	1	55640	1	1	1	25	0
2010-01-13	0	391	1	0	4	1	1	26	70
2010-01-13	0	391	2	0	1	1	1	26	70
2010-01-13	14	1464	2	0	1	1	1	19	0
2010-01-13	20	391	1	82295	2	0	0	27	0
